
央视频道,#genre#
山东教育,http:/huangfeiyan.top/zb1/JYWS.m3u8
山东卫视,http:/huangfeiyan.top/zb1/WS.m3u8
山西卫视,http:/huangfeiyan.top/zb1/SXWS.m3u8
陕西卫视,http:/huangfeiyan.top/zb1/SXWS1.m3u8
深圳卫视,http:/huangfeiyan.top/zb1/SZWS.m3u8
四川卫视,http:/huangfeiyan.top/zb1/SCWS.m3u8
天津卫视,http:/huangfeiyan.top/zb1/TJWS.m3u8
西藏卫视,http:/huangfeiyan.top/zb1/XZWS.m3u8
新疆卫视,http:/huangfeiyan.top/zb1/XJWS.m3u8
新视觉卫视,http:/huangfeiyan.top/zb1/XSJWS.m3u8
延边卫视,http:/huangfeiyan.top/zb1/YBWS.m3u8
云南卫视,http:/huangfeiyan.top/zb1/YNWS.m3u8
浙江卫视,http:/huangfeiyan.top/zb1/ZJWS.m3u8
重庆卫视,http:/huangfeiyan.top/zb1/CQWS.m3u8
本地频道,#genre#
贵州-2-公共频道,http:/1.95.63.93/zb/GZ-2.m3u8
贵州-3-影视文艺频道,http:/1.95.63.93/zb/GZ-3.m3u8
贵州-4-大众生活频道,http:/1.95.63.93/zb/GZ-4.m3u8
贵州-5-生态·乡村频道,http:/1.95.63.93/zb/GZ-5.m3u8
贵州-6-科教健康频道,http:/1.95.63.93/zb/GZ-6.m3u8
贵州-7-经济频道,http:/1.95.63.93/zb/GZ-7.m3u8
贵州移动电视,http:/1.95.63.93/zb/GZYD.m3u8
铜仁-1-新闻综合频道,http:/1.95.63.93/zb/TR-1.m3u8
铜仁-2-公共频道,http:/1.95.63.93/zb/TR-2.m3u8
思南综合频道,http:/1.95.63.93/zb/SNZH.m3u8
贵州-2-公共频道,http:/1.95.63.93/zb1/GZ-2.m3u8
贵州-3-影视文艺频道,http:/1.95.63.93/zb1/GZ-3.m3u8
贵州-4-大众生活频道,http:/1.95.63.93/zb1/GZ-4.m3u8
贵州-5-生态·乡村频道,http:/1.95.63.93/zb1/GZ-5.m3u8
贵州-6-科教健康频道,http:/1.95.63.93/zb1/GZ-6.m3u8
贵州-7-经济频道,http:/1.95.63.93/zb1/GZ-7.m3u8
贵州移动电视,http:/1.95.63.93/zb1/GZYD.m3u8
铜仁-1-新闻综合频道,http:/1.95.63.93/zb1/TR-1.m3u8
铜仁-2-公共频道,http:/1.95.63.93/zb1/TR-2.m3u8
思南综合频道,http:/1.95.63.93/zb1/SNZH.m3u8
贵州-2-公共频道,http:/huangfeiyan.top/zb/GZ-2.m3u8
贵州-3-影视文艺频道,http:/huangfeiyan.top/zb/GZ-3.m3u8
贵州-4-大众生活频道,http:/huangfeiyan.top/zb/GZ-4.m3u8
贵州-5-生态·乡村频道,http:/huangfeiyan.top/zb/GZ-5.m3u8
贵州-6-科教健康频道,http:/huangfeiyan.top/zb/GZ-6.m3u8
贵州-7-经济频道,http:/huangfeiyan.top/zb/GZ-7.m3u8
贵州移动电视,http:/huangfeiyan.top/zb/GZYD.m3u8
铜仁-1-新闻综合频道,http:/huangfeiyan.top/zb/TR-1.m3u8
铜仁-2-公共频道,http:/huangfeiyan.top/zb/TR-2.m3u8
思南综合频道,http:/huangfeiyan.top/zb/SNZH.m3u8
贵州-2-公共频道,http:/huangfeiyan.top/zb1/GZ-2.m3u8
贵州-3-影视文艺频道,http:/huangfeiyan.top/zb1/GZ-3.m3u8
贵州-4-大众生活频道,http:/huangfeiyan.top/zb1/GZ-4.m3u8
贵州-5-生态·乡村频道,http:/huangfeiyan.top/zb1/GZ-5.m3u8
贵州-6-科教健康频道,http:/huangfeiyan.top/zb1/GZ-6.m3u8
贵州-7-经济频道,http:/huangfeiyan.top/zb1/GZ-7.m3u8
贵州移动电视,http:/huangfeiyan.top/zb1/GZYD.m3u8
铜仁-1-新闻综合频道,http:/huangfeiyan.top/zb1/TR-1.m3u8
